,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
100,1.0,1.518451,37.334286,366.24933,24.665514,-0.907749
101,1.01,1.767392,43.65913,428.29605,26.673119,1.623084
102,1.02,1.635601,40.310715,395.44812,25.629875,0.307948
103,1.03,1.606313,39.566593,388.1483,25.392216,0.008347
104,1.04,1.635601,40.310715,395.44812,25.629875,0.307948
105,1.05,1.738107,42.915085,420.99698,26.444859,1.335334
106,1.06,1.635601,40.310715,395.44812,25.629875,0.307948
107,1.07,1.417207,34.76198,341.015,23.800632,-1.998039
108,1.08,1.606313,39.566593,388.1483,25.392216,0.008347
109,1.09,1.547739,38.078403,373.54916,24.910109,-0.599407
110,1.1,1.459878,35.84612,351.65045,24.168924,-1.533761
111,1.11,1.694174,41.798878,410.047,26.098682,0.898936
112,1.12,1.704102,42.05112,412.52148,26.17731,0.998058
113,1.13,1.67953,41.42682,406.3971,25.982267,0.752181
114,1.14,1.40715,34.50646,338.50836,23.712997,-2.108514
115,1.15,1.489166,36.59024,358.95026,24.418495,-1.219148
116,1.16,1.674805,41.30677,405.21942,25.944593,0.704689
117,1.17,1.669922,41.18271,404.00238,25.905603,0.655536
118,1.18,1.489166,36.59024,358.95026,24.418495,-1.219148
119,1.19,1.542969,37.957214,372.36026,24.870438,-0.649419
120,1.2,1.650245,40.682774,399.09802,25.747885,0.456712
121,1.21,1.650245,40.682774,399.09802,25.747885,0.456712
122,1.22,1.650245,40.682774,399.09802,25.747885,0.456712
123,1.23,1.591669,39.194534,384.49838,25.272547,-0.142509
124,1.24,1.474522,36.21818,355.30035,24.294031,-1.37605
125,1.25,1.474522,36.21818,355.30035,24.294031,-1.37605
126,1.26,1.694174,41.798878,410.047,26.098682,0.898936
127,1.27,1.591669,39.194534,384.49838,25.272547,-0.142509
128,1.28,1.664889,41.054836,402.74792,25.865353,0.604796
129,1.29,1.577027,38.822525,380.84897,25.152327,-0.294063
130,1.3,1.577027,38.822525,380.84897,25.152327,-0.294063
131,1.31,1.459878,35.84612,351.65045,24.168924,-1.533761
132,1.32,1.635601,40.310715,395.44812,25.629875,0.307948
133,1.33,1.547739,38.078403,373.54916,24.910109,-0.599407
134,1.34,1.679687,41.43081,406.43622,25.983519,0.753758
135,1.35,1.791276,44.26595,434.24896,26.857843,1.855954
136,1.36,1.489166,36.59024,358.95026,24.418495,-1.219148
137,1.37,1.489166,36.59024,358.95026,24.418495,-1.219148
138,1.38,1.474522,36.21818,355.30035,24.294031,-1.37605
139,1.39,1.650245,40.682774,399.09802,25.747885,0.456712
