,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
100,1.0,1.577148,38.8256,380.87912,25.153322,-0.465977
101,1.01,1.660156,40.93458,401.56827,25.827446,0.841027
102,1.02,1.616211,39.818073,390.6153,25.472782,0.153399
103,1.03,1.606445,39.569946,388.18118,25.393291,-0.000718
104,1.04,1.616211,39.818073,390.6153,25.472782,0.153399
105,1.05,1.650391,40.686485,399.1344,25.749058,0.689048
106,1.06,1.616211,39.818073,390.6153,25.472782,0.153399
107,1.07,1.39659,34.238163,335.87637,23.62063,-3.437589
108,1.08,1.606445,39.569946,388.18118,25.393291,-0.000718
109,1.09,1.586914,39.073723,383.31323,25.233568,-0.310394
110,1.1,1.557617,38.329376,376.01117,24.992064,-0.778626
111,1.11,1.635742,40.314297,395.48325,25.631016,0.460184
112,1.12,1.704102,42.05112,412.52148,26.17731,1.519355
113,1.13,1.630859,40.190235,394.2662,25.591547,0.383662
114,1.14,1.345484,32.939713,323.13858,23.168406,-4.31437
115,1.15,1.567383,38.5775,378.44528,25.072826,-0.622042
116,1.16,1.674805,41.30677,405.21942,25.944593,1.068158
117,1.17,1.669922,41.18271,404.00238,25.905603,0.992562
118,1.18,1.567383,38.5775,378.44528,25.072826,-0.622042
119,1.19,1.542969,37.957214,372.36026,24.870438,-1.014439
120,1.2,1.621094,39.942135,391.83234,25.512434,0.230278
121,1.21,1.621094,39.942135,391.83234,25.512434,0.230278
122,1.22,1.621094,39.942135,391.83234,25.512434,0.230278
123,1.23,1.601562,39.445885,386.96414,25.353453,-0.077958
124,1.24,1.5625,38.453438,377.2282,25.032478,-0.700271
125,1.25,1.5625,38.453438,377.2282,25.032478,-0.700271
126,1.26,1.635742,40.314297,395.48325,25.631016,0.460184
127,1.27,1.601562,39.445885,386.96414,25.353453,-0.077958
128,1.28,1.625977,40.066196,393.0494,25.552025,0.307037
129,1.29,1.59668,39.32185,385.74734,25.31356,-0.155304
130,1.3,1.59668,39.32185,385.74734,25.31356,-0.155304
131,1.31,1.557617,38.329376,376.01117,24.992064,-0.778626
132,1.32,1.616211,39.818073,390.6153,25.472782,0.153399
133,1.33,1.586914,39.073723,383.31323,25.233568,-0.310394
134,1.34,1.679687,41.43081,406.43622,25.983519,1.143625
135,1.35,1.793368,44.3191,434.7704,26.873964,2.870038
136,1.36,1.567383,38.5775,378.44528,25.072826,-0.622042
137,1.37,1.567383,38.5775,378.44528,25.072826,-0.622042
138,1.38,1.5625,38.453438,377.2282,25.032478,-0.700271
139,1.39,1.621094,39.942135,391.83234,25.512434,0.230278
140,1.4,1.71875,42.423283,416.1724,26.292894,1.743448
141,1.41,1.601562,39.445885,386.96414,25.353453,-0.077958
142,1.42,1.523437,37.460964,367.49207,24.707325,-1.330683
143,1.43,1.52832,37.585026,368.7091,24.748203,-1.251427
144,1.44,1.645508,40.56242,397.91736,25.70977,0.612877
145,1.45,1.650391,40.686485,399.1344,25.749058,0.689048
146,1.46,1.611328,39.69401,389.39825,25.433067,0.076401
147,1.47,1.586914,39.073723,383.31323,25.233568,-0.310394
148,1.48,1.640625,40.43836,396.70032,25.670424,0.536589
149,1.49,1.611328,39.69401,389.39825,25.433067,0.076401
150,1.5,1.572266,38.70156,379.66232,25.11311,-0.543939
151,1.51,1.414248,34.6868,340.2775,23.774881,-3.138523
152,1.52,1.655273,40.81052,400.35123,25.788277,0.765087
153,1.53,1.689453,41.678932,408.87033,26.061209,1.294252
154,1.54,1.582031,38.94966,382.0962,25.193476,-0.388123
155,1.55,1.533203,37.709087,369.92615,24.789015,-1.172301
156,1.56,1.635742,40.314297,395.48325,25.631016,0.460184
157,1.57,1.630859,40.190235,394.2662,25.591547,0.383662
158,1.58,1.552734,38.205315,374.79413,24.951586,-0.857108
159,1.59,1.630859,40.190235,394.2662,25.591547,0.383662
160,1.6,1.660156,40.93458,401.56827,25.827446,0.841027
161,1.61,1.567383,38.5775,378.44528,25.072826,-0.622042
162,1.62,1.586914,39.073723,383.31323,25.233568,-0.310394
163,1.63,1.59668,39.32185,385.74734,25.31356,-0.155304
164,1.64,1.582031,38.94966,382.0962,25.193476,-0.388123
165,1.65,1.665039,41.058647,402.7853,25.866554,0.916852
166,1.66,1.59668,39.32185,385.74734,25.31356,-0.155304
167,1.67,1.552734,38.205315,374.79413,24.951586,-0.857108
168,1.68,1.567383,38.5775,378.44528,25.072826,-0.622042
169,1.69,1.679687,41.43081,406.43622,25.983519,1.143625
170,1.7,1.665039,41.058647,402.7853,25.866554,0.916852
171,1.71,1.523437,37.460964,367.49207,24.707325,-1.330683
172,1.72,1.5625,38.453438,377.2282,25.032478,-0.700271
173,1.73,1.582031,38.94966,382.0962,25.193476,-0.388123
174,1.74,1.645508,40.56242,397.91736,25.70977,0.612877
175,1.75,1.635742,40.314297,395.48325,25.631016,0.460184
176,1.76,1.586914,39.073723,383.31323,25.233568,-0.310394
177,1.77,1.557617,38.329376,376.01117,24.992064,-0.778626
178,1.78,1.601562,39.445885,386.96414,25.353453,-0.077958
179,1.79,1.611328,39.69401,389.39825,25.433067,0.076401
180,1.8,1.704102,42.05112,412.52148,26.17731,1.519355
181,1.81,1.601562,39.445885,386.96414,25.353453,-0.077958
182,1.82,1.489258,36.59258,358.97318,24.419275,-1.889161
183,1.83,1.59668,39.32185,385.74734,25.31356,-0.155304
184,1.84,1.68457,41.55487,407.6533,26.022392,1.218995
185,1.85,1.601562,39.445885,386.96414,25.353453,-0.077958
186,1.86,1.577148,38.8256,380.87912,25.153322,-0.465977
187,1.87,1.601562,39.445885,386.96414,25.353453,-0.077958
188,1.88,1.630859,40.190235,394.2662,25.591547,0.383662
189,1.89,1.616211,39.818073,390.6153,25.472782,0.153399
190,1.9,1.59668,39.32185,385.74734,25.31356,-0.155304
191,1.91,1.557617,38.329376,376.01117,24.992064,-0.778626
192,1.92,1.611328,39.69401,389.39825,25.433067,0.076401
193,1.93,1.665039,41.058647,402.7853,25.866554,0.916852
194,1.94,1.601562,39.445885,386.96414,25.353453,-0.077958
195,1.95,1.503906,36.96474,362.62408,24.543139,-1.649013
196,1.96,1.601562,39.445885,386.96414,25.353453,-0.077958
197,1.97,1.655273,40.81052,400.35123,25.788277,0.765087
198,1.98,1.611328,39.69401,389.39825,25.433067,0.076401
199,1.99,1.503906,36.96474,362.62408,24.543139,-1.649013
200,2.0,1.59668,39.32185,385.74734,25.31356,-0.155304
201,2.01,1.713867,42.299217,414.95532,26.25442,1.668855
202,2.02,1.616211,39.818073,390.6153,25.472782,0.153399
203,2.03,1.572266,38.70156,379.66232,25.11311,-0.543939
204,2.04,1.601562,39.445885,386.96414,25.353453,-0.077958
205,2.05,1.809215,44.721725,438.72012,26.995758,3.106176
206,2.06,1.586914,39.073723,383.31323,25.233568,-0.310394
207,2.07,1.572266,38.70156,379.66232,25.11311,-0.543939
208,2.08,1.606445,39.569946,388.18118,25.393291,-0.000718
209,2.09,1.59668,39.32185,385.74734,25.31356,-0.155304
210,2.1,1.601562,39.445885,386.96414,25.353453,-0.077958
211,2.11,1.616211,39.818073,390.6153,25.472782,0.153399
212,2.12,1.625977,40.066196,393.0494,25.552025,0.307037
213,2.13,1.582031,38.94966,382.0962,25.193476,-0.388123
214,2.14,1.552734,38.205315,374.79413,24.951586,-0.857108
215,2.15,1.572266,38.70156,379.66232,25.11311,-0.543939
216,2.16,1.650391,40.686485,399.1344,25.749058,0.689048
217,2.17,1.621094,39.942135,391.83234,25.512434,0.230278
218,2.18,1.513672,37.212864,365.0582,24.625372,-1.489575
219,2.19,1.635742,40.314297,395.48325,25.631016,0.460184
