      Time (s)  Voltage (V)
289      1.156     2.294922
290      1.160     2.358398
291      1.164     2.456055
292      1.168     2.465820
293      1.172     2.436523
294      1.176     2.412109
295      1.180     2.368164
296      1.184     2.329102
297      1.188     2.309570
298      1.192     2.304687
299      1.196     2.329102
300      1.200     2.358398
301      1.204     2.431641
302      1.208     2.416992
303      1.212     2.412109
304      1.216     2.412109
305      1.220     2.392578
306      1.224     2.392578
307      1.228     2.358398
308      1.232     2.358398
309      1.236     2.353516
310      1.240     2.368164
311      1.244     2.358398
312      1.248     2.348633
313      1.252     2.338867
314      1.256     2.581257
315      1.260     2.373047
316      1.264     2.392578
317      1.268     2.446289
318      1.272     2.436523
319      1.276     2.426758
320      1.280     2.436523
321      1.284     2.421875
322      1.288     2.377930
323      1.292     2.338867
324      1.296     2.314453
325      1.300     2.319336
326      1.304     2.333984
327      1.308     2.358398
328      1.312     2.368164
329      1.316     2.392578
330      1.320     2.353516
331      1.324     2.358398
332      1.328     2.353516
333      1.332     2.329102
334      1.336     2.304687
335      1.340     2.329102
336      1.344     2.329102
337      1.348     2.333984
338      1.352     2.309570
339      1.356     2.353516
340      1.360     2.377930
341      1.364     2.416992
342      1.368     2.407227
343      1.372     2.373047
344      1.376     2.338867
345      1.380     2.338867
346      1.384     2.343750
347      1.388     2.373047
348      1.392     2.426758
349      1.396     2.441406
350      1.400     2.456055
351      1.404     2.387695
352      1.408     2.333984
353      1.412     2.314453
354      1.416     2.290039
355      1.420     2.294922
356      1.424     2.329102
357      1.428     2.607500
358      1.432     2.402344
359      1.436     2.421875
360      1.440     2.402344
361      1.444     2.377930
362      1.448     2.338867
363      1.452     2.338867
364      1.456     2.329102
365      1.460     2.333984
366      1.464     2.368164
367      1.468     2.387695
368      1.472     2.392578
369      1.476     2.358398
370      1.480     2.387695
371      1.484     2.373047
372      1.488     2.397461
373      1.492     2.387695
374      1.496     2.397461
375      1.500     2.402344
376      1.504     2.387695
377      1.508     2.353516
378      1.512     2.353516
379      1.516     2.353516
380      1.520     2.329102
381      1.524     2.353516
382      1.528     2.373047
383      1.532     2.397461
384      1.536     2.412109
385      1.540     2.421875
386      1.544     2.416992
387      1.548     2.416992
388      1.552     2.392578
389      1.556     2.363281
390      1.560     2.319336
391      1.564     2.314453
392      1.568     2.299805
393      1.572     2.343750
394      1.576     2.363281
395      1.580     2.402344
396      1.584     2.416992
397      1.588     2.456055
398      1.592     2.460937
399      1.596     2.460937
400      1.600     2.441406
401      1.604     2.456055
402      1.608     2.436523
403      1.612     2.402344
404      1.616     2.338867
405      1.620     2.304687
406      1.624     2.290039
407      1.628     2.299805
408      1.632     2.329102
409      1.636     2.402344
410      1.640     2.451172
411      1.644     2.475586
412      1.648     2.475586
413      1.652     2.436523
414      1.656     2.358398
415      1.660     2.309570
416      1.664     2.285156
417      1.668     2.304687
418      1.672     2.333984
419      1.676     2.412109
420      1.680     2.456055
421      1.684     2.446289
422      1.688     2.416992
423      1.692     2.397461
424      1.696     2.382812
425      1.700     2.338867
426      1.704     2.333984
427      1.708     2.333984
428      1.712     2.184593
429      1.716     2.426758
430      1.720     2.623624
431      1.724     2.412109
432      1.728     2.426758
433      1.732     2.412109
434      1.736     2.397461
435      1.740     2.612314
436      1.744     2.397461
437      1.748     2.431641
438      1.752     2.456055
439      1.756     2.460937
440      1.760     2.397461
441      1.764     2.363281
442      1.768     2.314453
443      1.772     2.329102
444      1.776     2.319336
445      1.780     2.329102
446      1.784     2.333984
447      1.788     2.353516
448      1.792     2.368164
449      1.796     2.353516
450      1.800     2.348633
451      1.804     2.363281
452      1.808     2.397461
453      1.812     2.402344
454      1.816     2.368164
455      1.820     2.319336
456      1.824     2.358398
457      1.828     2.397461
458      1.832     2.416992
459      1.836     2.426758
460      1.840     2.460937
461      1.844     2.416992
462      1.848     2.125037
463      1.852     2.290039
464      1.856     2.246094
465      1.860     2.275391
466      1.864     2.329102
467      1.868     2.387695
468      1.872     2.416992
469      1.876     2.441406
470      1.880     2.402344
471      1.884     2.363281
472      1.888     2.314453
473      1.892     2.324219
474      1.896     2.348633
475      1.900     2.407227
476      1.904     2.446289
477      1.908     2.412109
478      1.912     2.373047
479      1.916     2.353516
480      1.920     2.343750
481      1.924     2.353516
482      1.928     2.373047
483      1.932     2.412109
484      1.936     2.431641
485      1.940     2.416992
486      1.944     2.402344
487      1.948     2.397461
488      1.952     2.373047
489      1.956     2.368164
490      1.960     2.358398
491      1.964     2.324219
492      1.968     2.314453
493      1.972     2.319336
494      1.976     2.343750
495      1.980     2.353516
496      1.984     2.373047
497      1.988     2.377930
498      1.992     2.392578
499      1.996     2.426758
500      2.000     2.421875
501      2.004     2.392578
502      2.008     2.368164
503      2.012     2.397461
504      2.016     2.373047
505      2.020     2.382812
506      2.024     2.368164
507      2.028     2.363281
508      2.032     2.348633
509      2.036     2.353516
510      2.040     2.373047
511      2.044     2.387695
512      2.048     2.377930
513      2.052     2.416992
514      2.056     2.446289
515      2.060     2.451172
516      2.064     2.416992
517      2.068     2.392578
518      2.072     2.368164
519      2.076     2.338867
520      2.080     2.338867
521      2.084     2.329102
522      2.088     2.348633
523      2.092     2.387695
524      2.096     2.412109
525      2.100     2.412109
526      2.104     2.358398
527      2.108     2.363281
528      2.112     2.343750
529      2.116     2.333984
530      2.120     2.304687
531      2.124     2.324219
532      2.128     2.373047
533      2.132     2.426758
534      2.136     2.451172
535      2.140     2.446289
536      2.144     2.407227
537      2.148     2.377930
538      2.152     2.377930
539      2.156     2.363281
540      2.160     2.338867
541      2.164     2.353516
542      2.168     2.387695
543      2.172     2.446289
544      2.176     2.431641
545      2.180     2.412109
546      2.184     2.382812
547      2.188     2.397461
548      2.192     2.368164
549      2.196     2.329102
550      2.200     2.319336
551      2.204     2.333984
552      2.208     2.368164
553      2.212     2.382812
554      2.216     2.377930
555      2.220     2.368164
556      2.224     2.402344
557      2.228     2.397461
558      2.232     2.402344
559      2.236     2.363281
560      2.240     2.363281
561      2.244     2.343750
562      2.248     2.358398
563      2.252     2.348633
564      2.256     2.343750
565      2.260     2.156199
566      2.264     2.407227
567      2.268     2.412109
568      2.272     2.368164
569      2.276     2.324219
570      2.280     2.270508
571      2.284     2.304687
572      2.288     2.314453
573      2.292     2.338867
574      2.296     2.377930
575      2.300     2.421875
576      2.304     2.426758
577      2.308     2.392578
578      2.312     2.338867
579      2.316     2.329102
580      2.320     2.353516
581      2.324     2.358398
582      2.328     2.382812
583      2.332     2.373047
584      2.336     2.348633
585      2.340     2.333984
586      2.344     2.363281
587      2.348     2.373047
588      2.352     2.373047
589      2.356     2.402344
590      2.360     2.382812
591      2.364     2.363281
592      2.368     2.329102
593      2.372     2.294922
594      2.376     2.290039
595      2.380     2.294922
596      2.384     2.343750
597      2.388     2.358398
598      2.392     2.387695
599      2.396     2.392578
600      2.400     2.382812
601      2.404     2.402344
602      2.408     2.373047
603      2.412     2.348633
604      2.416     2.348633
605      2.420     2.348633
606      2.424     2.353516
607      2.428     2.343750
608      2.432     2.397461
609      2.436     2.412109
610      2.440     2.441406
611      2.444     2.465820
612      2.448     2.446289
613      2.452     2.397461
614      2.456     2.373047
615      2.460     2.329102
616      2.464     2.324219
617      2.468     2.314453
618      2.472     2.333984
619      2.476     2.377930
620      2.480     2.387695
621      2.484     2.431641
622      2.488     2.412109
623      2.492     2.426758
624      2.496     2.373047
625      2.500     2.368164
626      2.504     2.348633
627      2.508     2.358398
628      2.512     2.343750
629      2.516     2.377930
630      2.520     2.421875
631      2.524     2.407227
632      2.528     2.392578
633      2.532     2.353516
634      2.536     2.329102
635      2.540     2.304687
636      2.544     2.290039
637      2.548     2.309570
638      2.552     2.358398
639      2.556     2.377930
640      2.560     2.373047
641      2.564     2.387695
642      2.568     2.373047
643      2.572     2.348633
644      2.576     2.329102
645      2.580     2.348633
646      2.584     2.373047
647      2.588     2.421875
648      2.592     2.426758
649      2.596     2.441406
650      2.600     2.436523
651      2.604     2.426758
652      2.608     2.402344
653      2.612     2.397461
654      2.616     2.363281
655      2.620     2.348633
656      2.624     2.358398
657      2.628     2.416992
658      2.632     2.416992
659      2.636     2.460937
660      2.640     2.426758
661      2.644     2.436523
662      2.648     2.407227
663      2.652     2.392578
664      2.656     2.373047
665      2.660     2.382812
666      2.664     2.397461
667      2.668     2.412109
668      2.672     2.426758
669      2.676     2.431641
670      2.680     2.407227
671      2.684     2.373047
672      2.688     2.363281
673      2.692     2.382812
674      2.696     2.358398
675      2.700     2.382812
676      2.704     2.397461
677      2.708     2.407227
678      2.712     2.397461
679      2.716     2.407227
680      2.720     2.382812
681      2.724     2.358398
682      2.728     2.387695
683      2.732     2.416992
684      2.736     2.373047
685      2.740     2.338867
686      2.744     2.333984
687      2.748     2.397461
688      2.752     2.402344
689      2.756     2.402344
690      2.760     2.416992
691      2.764     2.436523
692      2.768     2.397461
693      2.772     2.392578
694      2.776     2.377930
