,Time,Voltage
291,1.455,0.546875
292,1.46,0.561523
293,1.465,0.610352
294,1.47,0.595703
295,1.475,0.59082
296,1.48,0.629883
297,1.485,0.634766
298,1.49,0.59082
299,1.495,0.605469
300,1.5,0.59082
301,1.505,0.561523
302,1.51,0.551758
303,1.515,0.546875
304,1.52,0.566406
305,1.525,0.625
306,1.53,0.634766
307,1.535,0.629883
308,1.54,0.629883
309,1.545,0.634766
310,1.55,0.585937
311,1.555,0.566406
312,1.56,0.581055
313,1.565,0.59082
314,1.57,0.747605
315,1.575,0.551758
316,1.58,0.59082
317,1.585,0.600586
318,1.59,0.59082
319,1.595,0.605469
320,1.6,0.629883
321,1.605,0.605469
322,1.61,0.566406
323,1.615,0.576172
324,1.62,0.571289
325,1.625,0.595703
326,1.63,0.625
327,1.635,0.664062
328,1.64,0.605469
329,1.645,0.571289
330,1.65,0.551758
331,1.655,0.556641
332,1.66,0.581055
333,1.665,0.605469
334,1.67,0.634766
335,1.675,0.634766
336,1.68,0.576172
337,1.685,0.566406
338,1.69,0.576172
339,1.695,0.615234
340,1.7,0.600586
341,1.705,0.634766
342,1.71,0.644531
343,1.715,0.585937
344,1.72,0.581055
345,1.725,0.595703
346,1.73,0.571289
347,1.735,0.581055
348,1.74,0.571289
349,1.745,0.600586
350,1.75,0.615234
351,1.755,0.610352
352,1.76,0.615234
353,1.765,0.581055
354,1.77,0.59082
355,1.775,0.571289
356,1.78,0.581055
357,1.785,0.76789
358,1.79,0.576172
359,1.795,0.546875
360,1.8,0.551758
361,1.805,0.59082
362,1.81,0.615234
363,1.815,0.610352
364,1.82,0.639648
365,1.825,0.639648
366,1.83,0.566406
367,1.835,0.532227
368,1.84,0.561523
369,1.845,0.576172
370,1.85,0.600586
371,1.855,0.644531
372,1.86,0.664062
373,1.865,0.581055
374,1.87,0.59082
375,1.875,0.561523
376,1.88,0.541992
377,1.885,0.566406
378,1.89,0.581055
379,1.895,0.625
380,1.9,0.625
381,1.905,0.605469
382,1.91,0.625
383,1.915,0.576172
384,1.92,0.537109
385,1.925,0.551758
386,1.93,0.571289
387,1.935,0.59082
388,1.94,0.595703
389,1.945,0.625
390,1.95,0.654297
391,1.955,0.605469
392,1.96,0.610352
393,1.965,0.625
394,1.97,0.600586
395,1.975,0.566406
396,1.98,0.59082
397,1.985,0.625
398,1.99,0.605469
399,1.995,0.571289
400,2.0,0.576172
401,2.005,0.576172
402,2.01,0.556641
403,2.015,0.600586
404,2.02,0.620117
405,2.025,0.600586
406,2.03,0.615234
407,2.035,0.610352
408,2.04,0.595703
409,2.045,0.576172
410,2.05,0.576172
411,2.055,0.620117
412,2.06,0.59082
413,2.065,0.576172
414,2.07,0.600586
415,2.075,0.610352
416,2.08,0.605469
417,2.085,0.595703
418,2.09,0.595703
419,2.095,0.600586
420,2.1,0.576172
421,2.105,0.561523
