      Time (s)  Voltage (V)
0       0.0000     1.074219
1       0.0025     1.088867
2       0.0050     1.137695
3       0.0075     1.157227
4       0.0100     1.118164
5       0.0125     1.123047
6       0.0150     1.093750
7       0.0175     1.108398
8       0.0200     1.093750
9       0.0225     1.074219
10      0.0250     1.069336
11      0.0275     1.054687
12      0.0300     1.049805
13      0.0325     1.049805
14      0.0350     1.049805
15      0.0375     1.093750
16      0.0400     1.147461
17      0.0425     1.162109
18      0.0450     1.176758
19      0.0475     0.922399
20      0.0500     1.157227
21      0.0525     1.147461
22      0.0550     1.147461
23      0.0575     1.113281
24      0.0600     1.083984
25      0.0625     1.074219
26      0.0650     1.049805
27      0.0675     1.054687
28      0.0700     1.035156
29      0.0725     1.030273
30      0.0750     1.059570
31      0.0775     1.098633
32      0.0800     1.147461
33      0.0825     1.157227
34      0.0850     1.176758
35      0.0875     1.152344
36      0.0900     1.127930
37      0.0925     1.123047
38      0.0950     1.118164
39      0.0975     1.103516
40      0.1000     1.069336
41      0.1025     1.049805
42      0.1050     1.030273
43      0.1075     1.030273
44      0.1100     1.054687
45      0.1125     1.074219
46      0.1150     1.098633
47      0.1175     1.113281
48      0.1200     1.118164
49      0.1225     1.127930
50      0.1250     1.123047
51      0.1275     1.127930
52      0.1300     1.113281
53      0.1325     1.098633
54      0.1350     1.083984
55      0.1375     1.108398
56      0.1400     1.118164
57      0.1425     1.127930
58      0.1450     1.123047
59      0.1475     1.127930
60      0.1500     1.113281
61      0.1525     1.127930
62      0.1550     1.118164
63      0.1575     1.093750
64      0.1600     1.103516
65      0.1625     1.088867
66      0.1650     1.069336
67      0.1675     1.113281
68      0.1700     1.103516
69      0.1725     1.113281
70      0.1750     1.127930
71      0.1775     1.142578
72      0.1800     1.127930
73      0.1825     1.123047
74      0.1850     1.108398
75      0.1875     1.123047
76      0.1900     1.123047
77      0.1925     1.108398
78      0.1950     1.108398
79      0.1975     1.118164
80      0.2000     1.083984
81      0.2025     1.093750
82      0.2050     1.108398
83      0.2075     1.127930
84      0.2100     1.142578
85      0.2125     1.142578
86      0.2150     1.113281
87      0.2175     1.088867
88      0.2200     1.074219
89      0.2225     1.064453
90      0.2250     1.108398
91      0.2275     1.127930
92      0.2300     0.941688
93      0.2325     0.916006
94      0.2350     1.064453
95      0.2375     1.049805
96      0.2400     1.074219
97      0.2425     1.088867
98      0.2450     1.088867
99      0.2475     1.108398
100     0.2500     1.088867
101     0.2525     1.108398
102     0.2550     1.113281
103     0.2575     1.137695
104     0.2600     1.152344
105     0.2625     1.166992
106     0.2650     1.162109
107     0.2675     0.935106
108     0.2700     1.108398
109     0.2725     1.074219
110     0.2750     1.064453
111     0.2775     1.049805
112     0.2800     1.035156
113     0.2825     1.040039
114     0.2850     0.894851
115     0.2875     1.098633
116     0.2900     1.127930
117     0.2925     1.123047
118     0.2950     1.142578
119     0.2975     1.157227
120     0.3000     1.152344
121     0.3025     1.157227
122     0.3050     1.147461
123     0.3075     1.108398
124     0.3100     1.113281
125     0.3125     1.069336
126     0.3150     1.044922
127     0.3175     1.044922
128     0.3200     1.030273
129     0.3225     1.020508
130     0.3250     1.044922
131     0.3275     1.088867
132     0.3300     1.113281
133     0.3325     1.108398
134     0.3350     1.113281
135     0.3375     1.247640
136     0.3400     1.127930
137     0.3425     1.147461
138     0.3450     1.147461
139     0.3475     1.147461
140     0.3500     1.127930
141     0.3525     1.123047
142     0.3550     1.098633
143     0.3575     1.074219
144     0.3600     1.079102
145     0.3625     1.074219
146     0.3650     1.079102
147     0.3675     1.098633
148     0.3700     1.074219
149     0.3725     1.074219
150     0.3750     1.088867
151     0.3775     0.949015
152     0.3800     1.142578
153     0.3825     1.132812
154     0.3850     1.118164
155     0.3875     1.127930
156     0.3900     1.113281
157     0.3925     1.083984
158     0.3950     1.049805
159     0.3975     1.015625
160     0.4000     1.015625
161     0.4025     1.040039
162     0.4050     1.079102
163     0.4075     1.123047
164     0.4100     1.157227
165     0.4125     1.171875
166     0.4150     1.166992
167     0.4175     1.152344
168     0.4200     1.137695
169     0.4225     1.142578
170     0.4250     1.118164
171     0.4275     1.113281
172     0.4300     1.093750
173     0.4325     1.010742
174     0.4350     0.996094
175     0.4375     1.005859
176     0.4400     1.044922
177     0.4425     1.088867
178     0.4450     1.127930
179     0.4475     1.127930
180     0.4500     1.142578
181     0.4525     1.137695
182     0.4550     1.142578
183     0.4575     1.132812
184     0.4600     1.108398
185     0.4625     1.123047
186     0.4650     1.093750
187     0.4675     1.079102
188     0.4700     1.088867
189     0.4725     1.059570
190     0.4750     1.059570
191     0.4775     1.069336
192     0.4800     1.074219
193     0.4825     1.098633
194     0.4850     1.098633
195     0.4875     1.108398
196     0.4900     1.079102
197     0.4925     1.054687
198     0.4950     1.069336
199     0.4975     1.088867
200     0.5000     1.142578
201     0.5025     1.157227
202     0.5050     1.157227
203     0.5075     1.147461
204     0.5100     1.123047
205     0.5125     1.260122
206     0.5150     1.098633
207     0.5175     1.083984
208     0.5200     1.059570
209     0.5225     1.054687
210     0.5250     1.044922
211     0.5275     1.035156
212     0.5300     1.049805
213     0.5325     1.088867
214     0.5350     1.074219
215     0.5375     1.123047
216     0.5400     1.152344
