,Time,Voltage
0,0.0,1.577148
1,0.01,1.611328
2,0.02,1.640625
3,0.03,1.635742
4,0.04,1.577148
5,0.05,1.59668
6,0.06,1.625977
7,0.07,1.582031
8,0.08,1.601562
9,0.09,1.679687
10,0.1,1.640625
11,0.11,1.586914
12,0.12,1.5625
13,0.13,1.606445
14,0.14,1.669922
15,0.15,1.591797
16,0.16,1.586914
17,0.17,1.669922
18,0.18,1.591797
19,0.19,1.380457
20,0.2,1.586914
21,0.21,1.606445
22,0.22,1.640625
23,0.23,1.640625
24,0.24,1.572266
25,0.25,1.538086
26,0.26,1.611328
27,0.27,1.611328
28,0.28,1.547852
29,0.29,1.591797
30,0.3,1.577148
31,0.31,1.601562
32,0.32,1.630859
33,0.33,1.630859
34,0.34,1.577148
35,0.35,1.557617
36,0.36,1.625977
37,0.37,1.616211
38,0.38,1.5625
39,0.39,1.59668
40,0.4,1.616211
41,0.41,1.606445
42,0.42,1.621094
43,0.43,1.616211
44,0.44,1.538086
45,0.45,1.5625
46,0.46,1.694336
47,0.47,1.665039
48,0.48,1.5625
49,0.49,1.503906
50,0.5,1.621094
51,0.51,1.728516
52,0.52,1.625977
53,0.53,1.513672
54,0.54,1.557617
55,0.55,1.669922
56,0.56,1.650391
57,0.57,1.601562
58,0.58,1.591797
59,0.59,1.606445
60,0.6,1.640625
61,0.61,1.601562
62,0.62,1.542969
63,0.63,1.625977
64,0.64,1.616211
65,0.65,1.635742
66,0.66,1.533203
67,0.67,1.645508
68,0.68,1.645508
69,0.69,1.616211
70,0.7,1.5625
71,0.71,1.601562
72,0.72,1.645508
73,0.73,1.645508
74,0.74,1.582031
75,0.75,1.591797
76,0.76,1.616211
77,0.77,1.625977
78,0.78,1.650391
79,0.79,1.591797
80,0.8,1.572266
81,0.81,1.518555
82,0.82,1.635742
83,0.83,1.669922
84,0.84,1.616211
85,0.85,1.52832
86,0.86,1.59668
87,0.87,1.630859
88,0.88,1.601562
89,0.89,1.635742
90,0.9,1.630859
91,0.91,1.577148
92,0.92,1.404946
93,0.93,1.372341
94,0.94,1.591797
95,0.95,1.523437
96,0.96,1.577148
97,0.97,1.708984
98,0.98,1.630859
99,0.99,1.616211
100,1.0,1.577148
101,1.01,1.660156
102,1.02,1.616211
103,1.03,1.606445
104,1.04,1.616211
105,1.05,1.650391
106,1.06,1.616211
107,1.07,1.39659
108,1.08,1.606445
109,1.09,1.586914
110,1.1,1.557617
111,1.11,1.635742
112,1.12,1.704102
113,1.13,1.630859
114,1.14,1.345484
115,1.15,1.567383
116,1.16,1.674805
117,1.17,1.669922
118,1.18,1.567383
119,1.19,1.542969
120,1.2,1.621094
121,1.21,1.621094
122,1.22,1.621094
123,1.23,1.601562
124,1.24,1.5625
125,1.25,1.5625
126,1.26,1.635742
127,1.27,1.601562
128,1.28,1.625977
129,1.29,1.59668
130,1.3,1.59668
131,1.31,1.557617
132,1.32,1.616211
133,1.33,1.586914
134,1.34,1.679687
135,1.35,1.793368
136,1.36,1.567383
137,1.37,1.567383
138,1.38,1.5625
139,1.39,1.621094
140,1.4,1.71875
141,1.41,1.601562
142,1.42,1.523437
143,1.43,1.52832
144,1.44,1.645508
145,1.45,1.650391
146,1.46,1.611328
147,1.47,1.586914
148,1.48,1.640625
149,1.49,1.611328
150,1.5,1.572266
151,1.51,1.414248
152,1.52,1.655273
153,1.53,1.689453
154,1.54,1.582031
155,1.55,1.533203
156,1.56,1.635742
157,1.57,1.630859
158,1.58,1.552734
