,Time,Voltage
0,0.0,1.074219
1,0.0025,1.088867
2,0.005,1.137695
3,0.0075,1.157227
4,0.01,1.118164
5,0.0125,1.123047
6,0.015,1.09375
7,0.0175,1.108398
8,0.02,1.09375
9,0.0225,1.074219
10,0.025,1.069336
11,0.0275,1.054687
12,0.03,1.049805
13,0.0325,1.049805
14,0.035,1.049805
15,0.0375,1.09375
16,0.04,1.147461
17,0.0425,1.162109
18,0.045,1.176758
19,0.0475,0.922399
20,0.05,1.157227
21,0.0525,1.147461
22,0.055,1.147461
23,0.0575,1.113281
24,0.06,1.083984
25,0.0625,1.074219
26,0.065,1.049805
27,0.0675,1.054687
28,0.07,1.035156
29,0.0725,1.030273
30,0.075,1.05957
31,0.0775,1.098633
32,0.08,1.147461
33,0.0825,1.157227
34,0.085,1.176758
35,0.0875,1.152344
36,0.09,1.12793
37,0.0925,1.123047
38,0.095,1.118164
39,0.0975,1.103516
40,0.1,1.069336
41,0.1025,1.049805
42,0.105,1.030273
43,0.1075,1.030273
44,0.11,1.054687
45,0.1125,1.074219
46,0.115,1.098633
47,0.1175,1.113281
48,0.12,1.118164
49,0.1225,1.12793
50,0.125,1.123047
51,0.1275,1.12793
52,0.13,1.113281
53,0.1325,1.098633
54,0.135,1.083984
55,0.1375,1.108398
56,0.14,1.118164
57,0.1425,1.12793
58,0.145,1.123047
59,0.1475,1.12793
60,0.15,1.113281
61,0.1525,1.12793
62,0.155,1.118164
63,0.1575,1.09375
64,0.16,1.103516
65,0.1625,1.088867
66,0.165,1.069336
67,0.1675,1.113281
68,0.17,1.103516
69,0.1725,1.113281
70,0.175,1.12793
71,0.1775,1.142578
72,0.18,1.12793
73,0.1825,1.123047
74,0.185,1.108398
75,0.1875,1.123047
76,0.19,1.123047
77,0.1925,1.108398
78,0.195,1.108398
79,0.1975,1.118164
80,0.2,1.083984
81,0.2025,1.09375
82,0.205,1.108398
83,0.2075,1.12793
84,0.21,1.142578
85,0.2125,1.142578
86,0.215,1.113281
87,0.2175,1.088867
88,0.22,1.074219
89,0.2225,1.064453
90,0.225,1.108398
91,0.2275,1.12793
92,0.23,0.941688
93,0.2325,0.916006
94,0.235,1.064453
95,0.2375,1.049805
96,0.24,1.074219
97,0.2425,1.088867
98,0.245,1.088867
99,0.2475,1.108398
100,0.25,1.088867
101,0.2525,1.108398
102,0.255,1.113281
103,0.2575,1.137695
104,0.26,1.152344
105,0.2625,1.166992
106,0.265,1.162109
107,0.2675,0.935106
108,0.27,1.108398
109,0.2725,1.074219
110,0.275,1.064453
111,0.2775,1.049805
112,0.28,1.035156
113,0.2825,1.040039
114,0.285,0.894851
115,0.2875,1.098633
116,0.29,1.12793
117,0.2925,1.123047
118,0.295,1.142578
119,0.2975,1.157227
120,0.3,1.152344
121,0.3025,1.157227
122,0.305,1.147461
123,0.3075,1.108398
124,0.31,1.113281
125,0.3125,1.069336
126,0.315,1.044922
127,0.3175,1.044922
128,0.32,1.030273
129,0.3225,1.020508
130,0.325,1.044922
131,0.3275,1.088867
132,0.33,1.113281
133,0.3325,1.108398
134,0.335,1.113281
135,0.3375,1.24764
136,0.34,1.12793
137,0.3425,1.147461
138,0.345,1.147461
139,0.3475,1.147461
140,0.35,1.12793
141,0.3525,1.123047
142,0.355,1.098633
143,0.3575,1.074219
144,0.36,1.079102
145,0.3625,1.074219
146,0.365,1.079102
147,0.3675,1.098633
148,0.37,1.074219
149,0.3725,1.074219
150,0.375,1.088867
151,0.3775,0.949015
152,0.38,1.142578
153,0.3825,1.132812
154,0.385,1.118164
155,0.3875,1.12793
156,0.39,1.113281
157,0.3925,1.083984
158,0.395,1.049805
159,0.3975,1.015625
160,0.4,1.015625
161,0.4025,1.040039
162,0.405,1.079102
163,0.4075,1.123047
164,0.41,1.157227
165,0.4125,1.171875
166,0.415,1.166992
167,0.4175,1.152344
168,0.42,1.137695
169,0.4225,1.142578
170,0.425,1.118164
171,0.4275,1.113281
172,0.43,1.09375
173,0.4325,1.010742
174,0.435,0.996094
175,0.4375,1.005859
